,NUMERO EXPEDIENTE,DESCRIPCION CAUSA
153,2011S008811,No hi ha causa mediata
154,2011S005684,Alcoholèmia
155,2011S007608,No hi ha causa mediata
156,2011S006642,No hi ha causa mediata
157,2011S004421,No hi ha causa mediata
158,2011S003662,No hi ha causa mediata
159,2011S000999,No hi ha causa mediata
160,2011S004751,No hi ha causa mediata
161,2011S008725,No hi ha causa mediata
162,2011S008276,No hi ha causa mediata
163,2011S007546,No hi ha causa mediata
164,2011S005353,No hi ha causa mediata
165,2011S008714,Calçada en mal estat
166,2011S007603,No hi ha causa mediata
167,2011S008681,No hi ha causa mediata
168,2011S004787,No hi ha causa mediata
169,2011S003870,No hi ha causa mediata
170,2011S002264,No hi ha causa mediata
171,2011S002507,No hi ha causa mediata
172,2011S002105,No hi ha causa mediata
173,2011S000538,No hi ha causa mediata
174,2011S002735,No hi ha causa mediata
175,2011S002557,No hi ha causa mediata
176,2011S004360,No hi ha causa mediata
177,2011S001979,No hi ha causa mediata
178,2011S000333,No hi ha causa mediata
179,2011S000754,No hi ha causa mediata
180,2011S006249,No hi ha causa mediata
181,2011S005698,No hi ha causa mediata
182,2011S000003,Alcoholèmia
183,2011S006047,No hi ha causa mediata
184,2011S001615,No hi ha causa mediata
185,2011S005476,No hi ha causa mediata
186,2011S002387,No hi ha causa mediata
187,2011S001351,No hi ha causa mediata
188,2011S002757,No hi ha causa mediata
189,2011S001793,No hi ha causa mediata
190,2011S007161,No hi ha causa mediata
191,2011S003530,No hi ha causa mediata
192,2011S002155,No hi ha causa mediata
193,2011S003981,No hi ha causa mediata
194,2011S002723,No hi ha causa mediata
195,2011S003131,No hi ha causa mediata
196,2011S005571,No hi ha causa mediata
197,2011S003889,No hi ha causa mediata
198,2011S001439,No hi ha causa mediata
199,2011S001714,Calçada en mal estat
200,2011S007853,No hi ha causa mediata
201,2011S008533,No hi ha causa mediata
202,2011S008675,No hi ha causa mediata
203,2011S000260,No hi ha causa mediata
204,2011S008496,No hi ha causa mediata
205,2011S003696,No hi ha causa mediata
206,2011S000073,No hi ha causa mediata
207,2011S004975,No hi ha causa mediata
208,2011S008688,No hi ha causa mediata
209,2011S004153,No hi ha causa mediata
210,2011S000273,No hi ha causa mediata
211,2011S007890,No hi ha causa mediata
212,2011S004160,No hi ha causa mediata
213,2011S003271,No hi ha causa mediata
214,2011S001322,No hi ha causa mediata
215,2011S001335,No hi ha causa mediata
216,2011S006971,No hi ha causa mediata
217,2011S002491,No hi ha causa mediata
218,2011S005924,No hi ha causa mediata
219,2011S005980,No hi ha causa mediata
220,2011S007735,No hi ha causa mediata
221,2011S006737,No hi ha causa mediata
222,2011S006395,Alcoholèmia
223,2011S006981,No hi ha causa mediata
224,2011S007162,No hi ha causa mediata
225,2011S005778,No hi ha causa mediata
226,2011S005885,No hi ha causa mediata
227,2011S007106,No hi ha causa mediata
228,2011S005995,No hi ha causa mediata
229,2011S007588,No hi ha causa mediata
230,2011S000231,No hi ha causa mediata
231,2011S007902,No hi ha causa mediata
232,2011S003657,No hi ha causa mediata
233,2011S004063,No hi ha causa mediata
234,2011S001962,No hi ha causa mediata
235,2011S007299,No hi ha causa mediata
236,2011S007638,No hi ha causa mediata
237,2011S007629,No hi ha causa mediata
238,2011S001987,No hi ha causa mediata
239,2011S000045,No hi ha causa mediata
240,2011S003185,No hi ha causa mediata
241,2011S006929,No hi ha causa mediata
242,2011S000055,No hi ha causa mediata
243,2011S002696,No hi ha causa mediata
244,2011S000289,No hi ha causa mediata
245,2011S002928,No hi ha causa mediata
246,2011S002618,No hi ha causa mediata
247,2011S004591,No hi ha causa mediata
248,2011S005118,No hi ha causa mediata
249,2011S004701,No hi ha causa mediata
250,2011S000978,No hi ha causa mediata
251,2011S001689,No hi ha causa mediata
252,2011S001986,No hi ha causa mediata
253,2011S002965,No hi ha causa mediata
254,2011S004497,No hi ha causa mediata
255,2011S002947,No hi ha causa mediata
256,2011S006722,No hi ha causa mediata
257,2011S004430,No hi ha causa mediata
258,2011S003041,No hi ha causa mediata
259,2011S001869,No hi ha causa mediata
260,2011S002307,No hi ha causa mediata
261,2011S008026,No hi ha causa mediata
262,2011S008056,No hi ha causa mediata
263,2011S004204,No hi ha causa mediata
264,2011S004393,No hi ha causa mediata
265,2011S000041,No hi ha causa mediata
266,2011S005334,No hi ha causa mediata
267,2011S002800,No hi ha causa mediata
268,2011S007992,No hi ha causa mediata
269,2011S007329,No hi ha causa mediata
270,2011S004212,No hi ha causa mediata
271,2011S003318,Alcoholèmia
272,2011S007964,No hi ha causa mediata
273,2011S003180,No hi ha causa mediata
274,2011S005009,No hi ha causa mediata
275,2011S004563,Calçada en mal estat
276,2011S001264,No hi ha causa mediata
277,2011S008203,No hi ha causa mediata
278,2011S005621,No hi ha causa mediata
279,2011S005225,No hi ha causa mediata
280,2011S000618,No hi ha causa mediata
281,2011S006392,Drogues o medicaments
282,2011S001099,No hi ha causa mediata
283,2011S008072,No hi ha causa mediata
284,2011S007479,No hi ha causa mediata
285,2011S000631,No hi ha causa mediata
286,2011S008413,No hi ha causa mediata
287,2011S003606,No hi ha causa mediata
288,2011S008658,No hi ha causa mediata
289,2011S001605,No hi ha causa mediata
290,2011S003046,No hi ha causa mediata
291,2011S007100,No hi ha causa mediata
292,2011S005399,No hi ha causa mediata
293,2011S002405,No hi ha causa mediata
294,2011S000063,No hi ha causa mediata
295,2011S004585,No hi ha causa mediata
296,2011S004586,No hi ha causa mediata
297,2011S004752,No hi ha causa mediata
298,2011S006623,No hi ha causa mediata
299,2011S006645,No hi ha causa mediata
300,2011S005923,No hi ha causa mediata
301,2011S007778,No hi ha causa mediata
302,2011S003310,No hi ha causa mediata
303,2011S007620,No hi ha causa mediata
304,2011S004271,No hi ha causa mediata
305,2011S007103,No hi ha causa mediata
306,2011S003115,No hi ha causa mediata
307,2011S003752,No hi ha causa mediata
308,2011S002845,No hi ha causa mediata
309,2011S005901,No hi ha causa mediata
310,2011S000339,No hi ha causa mediata
311,2011S001516,No hi ha causa mediata
312,2011S008523,No hi ha causa mediata
313,2011S001692,No hi ha causa mediata
314,2011S008437,No hi ha causa mediata
315,2011S001413,No hi ha causa mediata
316,2011S005030,No hi ha causa mediata
317,2011S007965,No hi ha causa mediata
318,2011S007488,No hi ha causa mediata
319,2011S001481,No hi ha causa mediata
320,2011S008358,No hi ha causa mediata
321,2011S007802,No hi ha causa mediata
322,2011S002217,No hi ha causa mediata
323,2011S002482,No hi ha causa mediata
324,2011S007720,No hi ha causa mediata
325,2011S003909,No hi ha causa mediata
326,2011S005222,No hi ha causa mediata
327,2011S000070,No hi ha causa mediata
328,2011S006651,No hi ha causa mediata
329,2011S001998,Alcoholèmia
330,2011S008729,No hi ha causa mediata
331,2011S007315,No hi ha causa mediata
332,2011S003693,No hi ha causa mediata
333,2011S000911,No hi ha causa mediata
334,2011S001590,No hi ha causa mediata
335,2011S008207,No hi ha causa mediata
336,2011S004517,No hi ha causa mediata
337,2011S002790,No hi ha causa mediata
338,2011S001358,No hi ha causa mediata
339,2011S005356,No hi ha causa mediata
340,2011S006060,No hi ha causa mediata
341,2011S001026,No hi ha causa mediata
342,2011S004610,No hi ha causa mediata
343,2011S006978,No hi ha causa mediata
344,2011S005592,No hi ha causa mediata
345,2011S008228,No hi ha causa mediata
346,2011S002505,Alcoholèmia
347,2011S002463,No hi ha causa mediata
348,2011S001735,No hi ha causa mediata
349,2011S002819,No hi ha causa mediata
350,2011S008241,No hi ha causa mediata
351,2011S003904,No hi ha causa mediata
352,2011S007818,No hi ha causa mediata
353,2011S005786,No hi ha causa mediata
354,2011S008361,No hi ha causa mediata
355,2011S004562,No hi ha causa mediata
356,2011S004812,No hi ha causa mediata
357,2011S003881,No hi ha causa mediata
358,2011S001519,No hi ha causa mediata
359,2011S004344,No hi ha causa mediata
360,2011S004285,No hi ha causa mediata
361,2011S003055,No hi ha causa mediata
362,2011S008827,Alcoholèmia
363,2011S003814,No hi ha causa mediata
364,2011S008570,No hi ha causa mediata
365,2011S004912,No hi ha causa mediata
366,2011S004944,No hi ha causa mediata
367,2011S006417,No hi ha causa mediata
368,2011S008794,No hi ha causa mediata
369,2011S002931,No hi ha causa mediata
370,2011S003428,No hi ha causa mediata
371,2011S008700,No hi ha causa mediata
372,2011S007527,No hi ha causa mediata
373,2011S005067,No hi ha causa mediata
374,2011S006146,No hi ha causa mediata
375,2011S005069,No hi ha causa mediata
376,2011S006627,No hi ha causa mediata
377,2011S002943,No hi ha causa mediata
378,2011S001766,No hi ha causa mediata
379,2011S008730,No hi ha causa mediata
380,2011S004441,No hi ha causa mediata
381,2011S000540,No hi ha causa mediata
382,2011S003939,No hi ha causa mediata
383,2011S008801,No hi ha causa mediata
384,2011S004352,No hi ha causa mediata
385,2011S001240,No hi ha causa mediata
386,2011S000814,No hi ha causa mediata
387,2011S005881,No hi ha causa mediata
388,2011S008439,No hi ha causa mediata
389,2011S003928,Alcoholèmia
390,2011S008046,No hi ha causa mediata
391,2011S007697,No hi ha causa mediata
392,2011S002777,No hi ha causa mediata
393,2011S001643,No hi ha causa mediata
394,2011S005515,No hi ha causa mediata
395,2011S002233,No hi ha causa mediata
396,2011S006105,No hi ha causa mediata
397,2011S007760,No hi ha causa mediata
398,2011S004962,No hi ha causa mediata
399,2011S007420,No hi ha causa mediata
400,2011S008214,No hi ha causa mediata
401,2011S008612,No hi ha causa mediata
402,2011S007680,No hi ha causa mediata
403,2011S000798,Alcoholèmia
404,2011S000720,No hi ha causa mediata
405,2011S005727,No hi ha causa mediata
406,2011S001283,No hi ha causa mediata
407,2011S003974,No hi ha causa mediata
408,2011S003641,No hi ha causa mediata
409,2011S006644,No hi ha causa mediata
410,2011S006214,No hi ha causa mediata
411,2011S008273,No hi ha causa mediata
412,2011S002642,No hi ha causa mediata
413,2011S001578,No hi ha causa mediata
414,2011S000958,No hi ha causa mediata
415,2011S002945,No hi ha causa mediata
416,2011S008544,No hi ha causa mediata
417,2011S005052,No hi ha causa mediata
418,2011S005244,No hi ha causa mediata
419,2011S000910,No hi ha causa mediata
420,2011S007187,No hi ha causa mediata
421,2011S006753,No hi ha causa mediata
422,2011S002753,No hi ha causa mediata
423,2011S002249,No hi ha causa mediata
424,2011S005162,No hi ha causa mediata
425,2011S003054,No hi ha causa mediata
426,2011S006237,No hi ha causa mediata
427,2011S000586,No hi ha causa mediata
428,2011S003824,No hi ha causa mediata
429,2011S000292,No hi ha causa mediata
430,2011S002450,No hi ha causa mediata
431,2011S006308,No hi ha causa mediata
432,2011S002698,No hi ha causa mediata
433,2011S004208,No hi ha causa mediata
434,2011S003650,No hi ha causa mediata
435,2011S003679,No hi ha causa mediata
436,2011S001910,No hi ha causa mediata
437,2011S006178,No hi ha causa mediata
438,2011S007382,No hi ha causa mediata
439,2011S007446,No hi ha causa mediata
440,2011S004945,No hi ha causa mediata
441,2011S006503,No hi ha causa mediata
442,2011S008846,No hi ha causa mediata
443,2011S000664,No hi ha causa mediata
444,2011S008485,No hi ha causa mediata
445,2011S000500,No hi ha causa mediata
446,2011S003437,Alcoholèmia
447,2011S004496,No hi ha causa mediata
448,2011S005166,No hi ha causa mediata
449,2011S001548,No hi ha causa mediata
450,2011S000266,No hi ha causa mediata
451,2011S002684,No hi ha causa mediata
452,2011S006679,No hi ha causa mediata
453,2011S008073,No hi ha causa mediata
454,2011S008691,No hi ha causa mediata
455,2011S003486,No hi ha causa mediata
456,2011S004088,No hi ha causa mediata
457,2011S003594,No hi ha causa mediata
458,2011S008075,No hi ha causa mediata
459,2011S001047,No hi ha causa mediata
460,2011S000136,No hi ha causa mediata
461,2011S008457,No hi ha causa mediata
462,2011S005414,No hi ha causa mediata
463,2011S008555,Alcoholèmia
464,2011S004263,No hi ha causa mediata
465,2011S005216,No hi ha causa mediata
466,2011S003504,No hi ha causa mediata
467,2011S005639,No hi ha causa mediata
468,2011S006692,No hi ha causa mediata
469,2011S003209,No hi ha causa mediata
470,2011S008473,No hi ha causa mediata
471,2011S008589,Calçada en mal estat
472,2011S007662,No hi ha causa mediata
473,2011S000527,No hi ha causa mediata
474,2011S003628,No hi ha causa mediata
475,2011S002015,No hi ha causa mediata
476,2011S008409,Alcoholèmia
477,2011S000848,No hi ha causa mediata
478,2011S008128,No hi ha causa mediata
479,2011S000795,No hi ha causa mediata
480,2011S001624,No hi ha causa mediata
481,2011S002553,No hi ha causa mediata
482,2011S008670,No hi ha causa mediata
483,2011S000151,No hi ha causa mediata
484,2011S001849,No hi ha causa mediata
485,2011S004405,No hi ha causa mediata
486,2011S005850,No hi ha causa mediata
487,2011S007993,No hi ha causa mediata
488,2011S005852,No hi ha causa mediata
489,2011S000354,No hi ha causa mediata
490,2011S002980,No hi ha causa mediata
491,2011S006752,No hi ha causa mediata
492,2011S000027,No hi ha causa mediata
493,2011S008819,No hi ha causa mediata
494,2011S003466,No hi ha causa mediata
495,2011S000098,No hi ha causa mediata
496,2011S004494,No hi ha causa mediata
497,2011S007292,No hi ha causa mediata
498,2011S004616,No hi ha causa mediata
499,2011S008442,Calçada en mal estat
500,2011S006484,No hi ha causa mediata
501,2011S006388,No hi ha causa mediata
502,2011S005003,No hi ha causa mediata
503,2011S006104,No hi ha causa mediata
504,2011S003436,No hi ha causa mediata
505,2011S003102,No hi ha causa mediata
506,2011S008445,No hi ha causa mediata
507,2011S006195,No hi ha causa mediata
508,2011S000279,No hi ha causa mediata
509,2011S007730,No hi ha causa mediata
510,2011S007910,No hi ha causa mediata
511,2011S008806,No hi ha causa mediata
512,2011S007036,No hi ha causa mediata
513,2011S006377,No hi ha causa mediata
514,2011S002514,No hi ha causa mediata
515,2011S001296,No hi ha causa mediata
516,2011S008823,No hi ha causa mediata
517,2011S008656,No hi ha causa mediata
518,2011S003347,No hi ha causa mediata
519,2011S005622,Alcoholèmia
520,2011S002441,No hi ha causa mediata
521,2011S003598,No hi ha causa mediata
522,2011S005127,No hi ha causa mediata
523,2011S001135,No hi ha causa mediata
524,2011S004149,No hi ha causa mediata
525,2011S004431,No hi ha causa mediata
526,2011S001229,No hi ha causa mediata
527,2011S007912,No hi ha causa mediata
528,2011S006022,No hi ha causa mediata
529,2011S005496,No hi ha causa mediata
530,2011S002939,No hi ha causa mediata
531,2011S001968,No hi ha causa mediata
532,2011S005875,No hi ha causa mediata
533,2011S003965,No hi ha causa mediata
534,2011S008013,No hi ha causa mediata
535,2011S005996,Alcoholèmia
536,2011S008260,No hi ha causa mediata
537,2011S004316,No hi ha causa mediata
538,2011S007857,No hi ha causa mediata
539,2011S007931,Calçada en mal estat
540,2011S005448,No hi ha causa mediata
541,2011S008198,No hi ha causa mediata
542,2011S003351,No hi ha causa mediata
543,2011S000236,No hi ha causa mediata
544,2011S003322,No hi ha causa mediata
545,2011S005719,No hi ha causa mediata
546,2011S002923,No hi ha causa mediata
547,2011S001527,No hi ha causa mediata
548,2011S000715,No hi ha causa mediata
549,2011S004057,No hi ha causa mediata
550,2011S005949,No hi ha causa mediata
551,2011S006547,No hi ha causa mediata
552,2011S003276,No hi ha causa mediata
553,2011S005338,Alcoholèmia
554,2011S000438,No hi ha causa mediata
555,2011S002404,No hi ha causa mediata
556,2011S001313,No hi ha causa mediata
557,2011S004214,No hi ha causa mediata
558,2011S004459,No hi ha causa mediata
559,2011S000796,No hi ha causa mediata
560,2011S002080,Alcoholèmia
561,2011S008143,No hi ha causa mediata
562,2011S003527,No hi ha causa mediata
563,2011S006666,No hi ha causa mediata
564,2011S008408,No hi ha causa mediata
565,2011S008077,No hi ha causa mediata
566,2011S003925,No hi ha causa mediata
567,2011S006017,No hi ha causa mediata
568,2011S001020,No hi ha causa mediata
569,2011S005595,No hi ha causa mediata
570,2011S003242,No hi ha causa mediata
571,2011S005555,No hi ha causa mediata
572,2011S007979,No hi ha causa mediata
573,2011S004270,No hi ha causa mediata
574,2011S001315,Alcoholèmia
575,2011S006587,No hi ha causa mediata
576,2011S008720,Alcoholèmia
577,2011S008767,No hi ha causa mediata
578,2011S007448,No hi ha causa mediata
579,2011S002311,No hi ha causa mediata
580,2011S003454,Alcoholèmia
581,2011S006717,No hi ha causa mediata
582,2011S001659,No hi ha causa mediata
583,2011S008418,No hi ha causa mediata
584,2011S004843,No hi ha causa mediata
585,2011S000783,No hi ha causa mediata
586,2011S007498,No hi ha causa mediata
587,2011S000709,No hi ha causa mediata
588,2011S006327,No hi ha causa mediata
589,2011S008240,No hi ha causa mediata
590,2011S004070,No hi ha causa mediata
591,2011S006442,No hi ha causa mediata
592,2011S002390,No hi ha causa mediata
593,2011S005007,No hi ha causa mediata
594,2011S002130,No hi ha causa mediata
595,2011S004572,Alcoholèmia
596,2011S007436,No hi ha causa mediata
597,2011S005671,No hi ha causa mediata
598,2011S007849,No hi ha causa mediata
599,2011S003411,No hi ha causa mediata
600,2011S007294,No hi ha causa mediata
601,2011S007927,No hi ha causa mediata
602,2011S002511,No hi ha causa mediata
603,2011S003834,Alcoholèmia
604,2011S000585,No hi ha causa mediata
605,2011S008256,No hi ha causa mediata
606,2011S004542,No hi ha causa mediata
607,2011S003571,No hi ha causa mediata
608,2011S001470,No hi ha causa mediata
609,2011S007264,No hi ha causa mediata
610,2011S005982,No hi ha causa mediata
611,2011S008141,No hi ha causa mediata
612,2011S001317,No hi ha causa mediata
613,2011S001241,No hi ha causa mediata
614,2011S005453,No hi ha causa mediata
615,2011S002780,No hi ha causa mediata
616,2011S005843,No hi ha causa mediata
617,2011S001852,No hi ha causa mediata
618,2011S002775,No hi ha causa mediata
619,2011S001697,No hi ha causa mediata
620,2011S004254,No hi ha causa mediata
621,2011S008376,No hi ha causa mediata
622,2011S001716,No hi ha causa mediata
623,2011S007990,No hi ha causa mediata
624,2011S001152,No hi ha causa mediata
625,2011S001539,No hi ha causa mediata
626,2011S000616,No hi ha causa mediata
627,2011S005451,No hi ha causa mediata
628,2011S008719,No hi ha causa mediata
629,2011S005337,No hi ha causa mediata
630,2011S002942,No hi ha causa mediata
631,2011S006320,No hi ha causa mediata
632,2011S004412,No hi ha causa mediata
633,2011S007081,No hi ha causa mediata
634,2011S003492,No hi ha causa mediata
635,2011S003769,No hi ha causa mediata
636,2011S002231,No hi ha causa mediata
637,2011S003009,No hi ha causa mediata
638,2011S003133,No hi ha causa mediata
639,2011S001407,No hi ha causa mediata
640,2011S004833,No hi ha causa mediata
641,2011S008034,No hi ha causa mediata
642,2011S007825,No hi ha causa mediata
643,2011S002154,No hi ha causa mediata
644,2011S000554,No hi ha causa mediata
645,2011S004943,No hi ha causa mediata
646,2011S008640,No hi ha causa mediata
647,2011S000487,No hi ha causa mediata
648,2011S007989,No hi ha causa mediata
649,2011S007137,No hi ha causa mediata
650,2011S002967,No hi ha causa mediata
651,2011S001686,Alcoholèmia
652,2011S006447,No hi ha causa mediata
653,2011S005253,No hi ha causa mediata
654,2011S002026,No hi ha causa mediata
655,2011S005143,No hi ha causa mediata
656,2011S003261,Excés de velocitat o inadequada
657,2011S007648,No hi ha causa mediata
658,2011S008615,Alcoholèmia
659,2011S004913,No hi ha causa mediata
660,2011S002523,No hi ha causa mediata
661,2011S002738,No hi ha causa mediata
662,2011S006674,No hi ha causa mediata
663,2011S004477,No hi ha causa mediata
664,2011S000732,No hi ha causa mediata
665,2011S001438,No hi ha causa mediata
666,2011S006050,No hi ha causa mediata
667,2011S001209,No hi ha causa mediata
668,2011S004806,No hi ha causa mediata
669,2011S001035,No hi ha causa mediata
670,2011S004677,No hi ha causa mediata
671,2011S004173,No hi ha causa mediata
672,2011S004626,No hi ha causa mediata
673,2011S000021,No hi ha causa mediata
674,2011S007528,No hi ha causa mediata
675,2011S006440,No hi ha causa mediata
676,2011S005291,No hi ha causa mediata
677,2011S001213,No hi ha causa mediata
678,2011S003700,No hi ha causa mediata
679,2011S006339,No hi ha causa mediata
680,2011S003152,No hi ha causa mediata
681,2011S003287,No hi ha causa mediata
682,2011S001497,Alcoholèmia
683,2011S008755,No hi ha causa mediata
684,2011S006844,No hi ha causa mediata
685,2011S006505,No hi ha causa mediata
686,2011S006962,No hi ha causa mediata
687,2011S006862,No hi ha causa mediata
688,2011S005411,No hi ha causa mediata
689,2011S002135,No hi ha causa mediata
690,2011S008590,No hi ha causa mediata
691,2011S004892,No hi ha causa mediata
692,2011S000040,No hi ha causa mediata
693,2011S001112,No hi ha causa mediata
694,2011S008472,No hi ha causa mediata
695,2011S001433,No hi ha causa mediata
696,2011S002726,No hi ha causa mediata
697,2011S006663,No hi ha causa mediata
698,2011S005959,No hi ha causa mediata
699,2011S003656,No hi ha causa mediata
700,2011S002113,No hi ha causa mediata
701,2011S001000,No hi ha causa mediata
702,2011S001853,No hi ha causa mediata
703,2011S004067,No hi ha causa mediata
704,2011S004929,No hi ha causa mediata
705,2011S008264,No hi ha causa mediata
706,2011S007509,No hi ha causa mediata
707,2011S001352,No hi ha causa mediata
708,2011S001303,No hi ha causa mediata
709,2011S003455,No hi ha causa mediata
710,2011S001616,No hi ha causa mediata
711,2011S002974,No hi ha causa mediata
712,2011S008289,No hi ha causa mediata
713,2011S004974,No hi ha causa mediata
714,2011S001397,No hi ha causa mediata
715,2011S005800,No hi ha causa mediata
716,2011S006497,No hi ha causa mediata
717,2011S001301,No hi ha causa mediata
718,2011S008651,No hi ha causa mediata
719,2011S002987,No hi ha causa mediata
720,2011S005081,No hi ha causa mediata
721,2011S004866,No hi ha causa mediata
722,2011S000170,No hi ha causa mediata
723,2011S008456,No hi ha causa mediata
724,2011S004823,No hi ha causa mediata
725,2011S008349,No hi ha causa mediata
726,2011S004627,No hi ha causa mediata
727,2011S000993,Alcoholèmia
728,2011S007755,No hi ha causa mediata
729,2011S001149,No hi ha causa mediata
730,2011S008157,No hi ha causa mediata
731,2011S001864,Alcoholèmia
732,2011S001612,No hi ha causa mediata
733,2011S004713,No hi ha causa mediata
734,2011S002415,No hi ha causa mediata
735,2011S002683,No hi ha causa mediata
